Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude;Use location
310;#DB0VL Lingen;Analogue;439,050000;431,45000;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;52,50500107;7,49105978;Yes
311;#DB0VL.Lingen;Digital;439,050000;431,45000;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;52,50500107;7,49105978;Yes
312;#DF0HHH Rosenga;Analogue;439,575000;431,97500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,39659882;9,86532974;Yes
313;#DF0HHH Rosenga;Analogue;438,700000;431,10000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,39690018;9,86532974;Yes
314;#DB0XXL Bueckeb;Analogue;438,925000;431,32500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,23229980;9,00790024;Yes
315;#DB0LH Loehne;Analogue;439,125000;431,52500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,18410110;8,71249962;Yes
316;#DB0RI Rinteln;Analogue;438,562500;430,96250;25;;;;;None;;;None;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,21379852;9,09117985;Yes
317; DB0XH Hamburg;Analogue;145,662500;145,06250;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,56719971;9,78429031;Yes
318;#DB0HDF Hermsdo;Analogue;439,700000;434,90000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,90739822;11,85280037;Yes
319;#DB0GER Gera;Analogue;438,850000;431,25000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,88209915;12,12409973;Yes
320;#DB0JNA Jena-Bu;Analogue;438,750000;431,15000;25;;;;;None;;;88,5;;Disabled;Master;No;No;No;495;Off;No;No;None;50,89270020;11,60770035;Yes
321;#DB0SRB Saalfel;Analogue;438,525000;430,92500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,63550186;11,43449974;Yes
322;#DB0SRB.Saalfel;Digital;438,525000;430,92500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,63550186;11,43449974;Yes
323;#DB0SLF Saalfel;Analogue;438,975000;431,37500;25;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,64759827;11,36149979;Yes
324;#DB0SLF.Saalfel;Digital;438,975000;431,37500;25;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,64759827;11,36149979;Yes
325;#DB0HOF Hof;Analogue;438,912500;431,31250;25;;;;;None;;;67,0;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;50,31349945;11,91279984;Yes
326;#DB0SLF.Saalfel;Digital;438,650000;431,05000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,62810100;11,33780000;Yes
327;#DB0NAI Steinba;Analogue;439,150000;431,55000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,35419846;11,62500000;Yes
328;#DB0REN Wetzste;Analogue;438,825000;431,22500;25;;;;;None;;;None;136,5;Disabled;Master;No;No;No;495;Off;No;No;None;50,43750000;11,45829964;Yes
329;#DB0ZZ Zeitz;Analogue;438,887500;431,28750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,02360153;12,20880032;Yes
330;#DB0KUH Auerbac;Analogue;439,087500;431,48750;12,5;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;50,52026700;12,49910100;Yes
331;#DB0ABL Altenbu;Analogue;438,712500;431,11250;25,0;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;51,00650300;12,28823400;Yes
332;#DB0ZWU Zwickau;Analogue;439,050000;431,45000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,72000122;12,55510044;Yes
333;.DB0ABL.Meuselw;Digital;144,825000;144,82500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,04177100;12,30001000;Yes
334;#DB0ABL.Meuselw;Digital;439,900000;430,50000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,04270172;12,30249977;Yes
335;#DB0NMB Naumbur;Analogue;438,687500;431,08750;12,5;;;;;None;;;71,9;;Disabled;Master;No;No;No;495;Off;No;No;None;51,13159943;11,83740044;Yes
336;#DM0ASH Klingen;Analogue;438,200000;430,60000;25,0;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,39010000;12,50610000;Yes
337;#DB0WEI.Weimar;Digital;438,475000;430,87500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,99069977;11,33020020;Yes
338;#DB0GSW Weimar;Analogue;439,100000;431,50000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,99762435;11,32477964;Yes
339;#DB0THF Oberwei;Analogue;439,237500;431,63750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,58673000;11,12560000;Yes
340;#DO0KGS.Koenigs;Digital;430,375000;430,37500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,66049957;11,10680008;Yes
341;#DB0SON Sonnebe;Analogue;439,175000;431,57500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,39590073;11,20829964;Yes
342;#DB0ERZ Auersbe;Analogue;439,112500;431,51250;12,5;;;;;None;;;71,9;71,9;Disabled;Master;No;No;No;495;Off;No;No;None;50,45650101;12,64700031;Yes
343;#DB0ERZ.Auersbe;Digital;439,462500;431,86250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,45619965;12,64680004;Yes
344; DB0ERZ Auersbe;Analogue;145,725000;145,12500;12,5;;;;;None;;;None;71,9;Disabled;Master;No;No;No;495;Off;No;No;None;50,45530000;12,64700000;Yes
345;#DB0IK Arnstadt;Analogue;439,062500;431,46250;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,88130750;11,12915250;Yes
346;#DB0SBX Hohenst;Analogue;439,250000;431,65000;25,0;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,80098290;12,71326810;Yes
347;#DB0SON.Sonnebe;Digital;438,412500;430,81250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,38230100;11,18100000;Yes
348;#DM0ETB Weimar;Analogue;439,287500;431,68750;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,01938700;11,25016600;Yes
349; DB0ETB Weimar;Analogue;145,675000;145,07500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,01950073;11,25020027;Yes
350;#DB0ETB Weimar;Analogue;439,375000;431,77500;12,5;;;;;None;;;None;71,9;Disabled;Master;No;No;No;495;Off;No;No;None;51,01979828;11,25020027;Yes
351;#DB0KCH Kronach;Analogue;438,725000;431,12500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,27080154;11,29170036;Yes
352;#DB0ASE.Erfurt;Digital;438,325000;430,72500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,94380188;11,08520031;Yes
353;#DB0HRC Bad Due;Analogue;438,725000;431,12500;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,25519943;12,06219959;Yes
354;#DB0HRC.Bad.Due;Digital;439,487500;431,88750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,25519943;12,06219959;Yes
355;#DB0KUB.Kulmbac;Digital;439,850000;430,45000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,11917967;11,50498663;Yes
356;#DB0ZB Schneebe;Analogue;438,800000;431,20000;25,0;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,05210114;11,85330009;Yes
357; DB0ZB Schneebe;Analogue;145,600000;145,00000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,05179977;11,85330009;Yes
358;#DB0CHE Chemnit;Analogue;438,812500;431,21250;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,80830000;12,86000000;Yes
359;#DB0LLA Geithai;Analogue;439,362500;431,76250;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,08191000;12,65529600;Yes
360;#DB0EFT Erfurt;Analogue;439,250000;431,65000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,98479843;11,02989960;Yes
361;#DB0CSD Chemnit;Analogue;438,700000;431,10000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,74720001;12,91909981;Yes
362;.DB0EFW.Erfurt;Digital;145,712500;145,11250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,95849991;10,97249985;Yes
363;#DB0AER Auerbac;Analogue;439,400000;431,80000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,68500137;12,93050003;Yes
364;#DM0RLB.Rochlit;Digital;438,762500;431,16250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,02600098;12,77250004;Yes
365;#DM0RLB Rochlit;Analogue;439,225000;431,62500;12,5;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;51,02610016;12,77250004;Yes
366;#DB0SBB Scheibe;Analogue;438,950000;431,35000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,54100037;12,91650009;Yes
367;#DB0LE.Leipzig;Digital;439,575000;431,97500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,29309845;12,23709965;Yes
368;#DB0LE Leipzig;Analogue;438,787500;431,18750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,29489899;12,22929955;Yes
369;#DB0MAK Marktre;Analogue;438,775000;431,17500;25;;;;;None;;;None;74,4;Disabled;Master;No;No;No;495;Off;No;No;None;50,00090027;12,14970016;Yes
370; DB0MAK Marktre;Analogue;145,775000;145,17500;25;;;;;None;;;None;74,4;Disabled;Master;No;No;No;495;Off;No;No;None;50,00030136;12,14970016;Yes
371;#DB0THA Suhl;Analogue;438,600000;431,00000;25;;;;;None;;;67,0;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;50,64590073;10,79170036;Yes
372; DB0THA Suhl;Analogue;145,737500;145,13750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,64559937;10,79170036;Yes
373;#DB0SML Leipzig;Analogue;439,275000;431,67500;25;;;;;None;;;67,0;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;51,32339859;12,32970047;Yes
374;#DB0MIO.Michela;Digital;438,700000;431,10000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,16500092;11,11030006;Yes
375;#DB0FIB.Fichtel;Digital;439,587500;431,98750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,42879868;12,95339966;Yes
376;#DB0FIB Fichtel;Analogue;439,350000;431,75000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,42850113;12,95339966;Yes
377; DB0UC Coburg;Analogue;145,700000;145,10000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,26029968;10,97560024;Yes
378;#DB0FHC.Coburg;Digital;439,450000;431,85000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,26119995;10,96269989;Yes
379;#DB0FLW.Leipzig;Digital;439,537500;431,93750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,33169937;12,36429977;Yes
380; DB0FLW Leipzig;Analogue;145,612500;145,01250;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,33174100;12,36419100;Yes
381;#DB0FLW.Leipzig;Digital;438,837500;431,23750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,33174100;12,36419100;Yes
